id,display_name,phone,default_lat,default_lng,dietary_preference,allergen_note,created_at
cus_0061,Đỗ Khoa,0997409627,10.767841,106.688594,,hải sản,2024-01-15T12:00:00+07:00
cus_0062,Nguyễn Bảo,0942585771,10.786806,106.703257,vegetarian,trứng,2024-09-02T12:00:00+07:00
cus_0063,Huỳnh Vy,0917557527,10.764684,106.701712,,,2025-06-15T12:00:00+07:00
cus_0064,Trần My,0949268256,10.786916,106.705148,,,2025-06-01T12:00:00+07:00
cus_0065,Phạm Trang,0982791655,10.772859,106.696714,vegetarian,trứng,2024-12-15T12:00:00+07:00
cus_0066,Nguyễn Ngọc,0918692881,10.774033,106.705031,vegetarian,,2026-04-13T12:00:00+07:00
cus_0067,Đặng Linh,0977418832,10.779416,106.709625,high_protein,hải sản,2025-03-02T12:00:00+07:00
cus_0068,Nguyễn Khánh,0969342993,10.765215,106.691068,low_spicy,,2024-03-10T12:00:00+07:00
cus_0069,Đỗ Hà,0920772623,10.781818,106.697076,high_protein,hải sản,2024-04-06T12:00:00+07:00
cus_0070,Đỗ My,0953557098,10.783655,106.697054,healthy,gluten,2025-06-12T12:00:00+07:00
cus_0071,Đặng Bảo,0919627500,10.769473,106.690206,,hải sản,2026-02-11T12:00:00+07:00
cus_0072,Nguyễn Thảo,0943365287,10.779841,106.689581,high_protein,hải sản,2024-07-09T12:00:00+07:00
cus_0073,Bùi Phúc,0982554634,10.770223,106.711965,high_protein,trứng,2024-11-06T12:00:00+07:00
cus_0074,Trần Hà,0918475191,10.782525,106.705532,low_spicy,hải sản,2024-04-18T12:00:00+07:00
cus_0075,Huỳnh Tú,0929949539,10.769447,106.691891,vegetarian,,2024-06-14T12:00:00+07:00
cus_0076,Lê Huy,0922762030,10.76577,106.69247,healthy,gluten,2024-09-12T12:00:00+07:00
cus_0077,Lê My,0929353908,10.764501,106.692305,,sữa,2025-05-03T12:00:00+07:00
cus_0078,Đặng Khoa,0984862685,10.769971,106.695741,,gluten,2025-06-28T12:00:00+07:00
cus_0079,Nguyễn Bảo,0985742472,10.777224,106.68956,,,2026-03-15T12:00:00+07:00
cus_0080,Đặng Bảo,0976303779,10.782251,106.688927,high_protein,sữa,2024-04-30T12:00:00+07:00
cus_0081,Đặng Phúc,0926878621,10.781338,106.690551,high_protein,hải sản,2024-05-15T12:00:00+07:00
cus_0082,Đỗ Vy,0930808011,10.782459,106.702957,vegetarian,gluten,2026-01-14T12:00:00+07:00
cus_0083,Đặng My,0965740719,10.770176,106.689838,high_protein,,2024-11-09T12:00:00+07:00
cus_0084,Đặng Trang,0933046595,10.777711,106.70341,high_protein,gluten,2024-04-14T12:00:00+07:00
cus_0085,Đỗ Ngọc,0982291670,10.782292,106.69279,,hải sản,2025-05-09T12:00:00+07:00
cus_0086,Trần Ngọc,0971953856,10.768223,106.708122,,,2024-11-13T12:00:00+07:00
cus_0087,Huỳnh Thảo,0992367298,10.7781,106.691242,,gluten,2025-10-28T12:00:00+07:00
cus_0088,Hoàng Duy,0979242984,10.7722,106.694971,vegetarian,,2025-01-08T12:00:00+07:00
cus_0089,Đỗ My,0944636701,10.781362,106.692662,high_protein,,2026-05-06T12:00:00+07:00
cus_0090,Đỗ Hà,0964511912,10.772756,106.706943,low_spicy,,2025-07-05T12:00:00+07:00
cus_0091,Lê Trang,0995261484,10.773922,106.712347,high_protein,hải sản,2024-06-04T12:00:00+07:00
cus_0092,Nguyễn Nhi,0950386071,10.764624,106.703361,healthy,trứng,2026-04-10T12:00:00+07:00
cus_0093,Phạm Nhi,0969312166,10.772782,106.698133,,,2024-12-03T12:00:00+07:00
cus_0094,Trần Vy,0957925795,10.786729,106.696546,vegetarian,,2025-06-03T12:00:00+07:00
cus_0095,Lê My,0957344171,10.778875,106.705184,,gluten,2024-10-11T12:00:00+07:00
cus_0096,Đặng Trang,0946433651,10.764594,106.712165,,gluten,2023-12-20T12:00:00+07:00
cus_0097,Hoàng Nhi,0959176731,10.765463,106.692043,vegetarian,trứng,2025-07-25T12:00:00+07:00
cus_0098,Phạm Khoa,0982564989,10.765056,106.70984,,,2024-11-29T12:00:00+07:00
cus_0099,Trần An,0948834296,10.768985,106.70588,healthy,sữa,2025-08-14T12:00:00+07:00
cus_0100,Nguyễn An,0936459408,10.782284,106.704507,vegetarian,trứng,2024-09-06T12:00:00+07:00
cus_0101,Phạm Mai,0921570029,10.777945,106.695762,high_protein,,2026-03-30T12:00:00+07:00
cus_0102,Trần An,0991562756,10.764935,106.705217,high_protein,,2024-01-31T12:00:00+07:00
cus_0103,Đỗ Minh,0910363334,10.77071,106.711003,low_spicy,,2025-02-05T12:00:00+07:00
cus_0104,Đặng Minh,0954812898,10.786772,106.70576,,,2024-05-26T12:00:00+07:00
cus_0105,Huỳnh Nam,0929136134,10.779404,106.705356,healthy,hải sản,2024-10-01T12:00:00+07:00
cus_0106,Hoàng Ngọc,0951751613,10.786442,106.692805,vegetarian,,2024-06-30T12:00:00+07:00
cus_0107,Đặng Khoa,0934670378,10.763773,106.701437,high_protein,hải sản,2025-06-07T12:00:00+07:00
cus_0108,Đặng Linh,0951990969,10.783487,106.695151,low_spicy,,2025-04-20T12:00:00+07:00
cus_0109,Đỗ Tú,0950576988,10.779822,106.706167,,trứng,2024-12-12T12:00:00+07:00
cus_0110,Đặng Linh,0917596305,10.76607,106.702599,high_protein,gluten,2024-07-20T12:00:00+07:00
cus_0111,Hoàng Hà,0925995777,10.763808,106.709071,,,2024-07-29T12:00:00+07:00
cus_0112,Võ Khánh,0955825168,10.782725,106.69635,,,2024-05-08T12:00:00+07:00
cus_0113,Võ Duy,0964995772,10.782379,106.707325,healthy,hải sản,2025-12-10T12:00:00+07:00
cus_0114,Võ Ngọc,0976098722,10.785118,106.702678,,sữa,2025-12-16T12:00:00+07:00
cus_0115,Hoàng Vy,0958268885,10.77404,106.698752,healthy,gluten,2025-09-02T12:00:00+07:00
cus_0116,Huỳnh Hà,0956441243,10.776451,106.696231,high_protein,trứng,2026-03-05T12:00:00+07:00
cus_0117,Trần Huy,0911311763,10.772588,106.701509,,trứng,2024-12-05T12:00:00+07:00
cus_0118,Bùi Quân,0956567148,10.776023,106.690208,,gluten,2025-02-15T12:00:00+07:00
cus_0119,Phạm Minh,0967512119,10.782952,106.708944,vegetarian,gluten,2024-10-25T12:00:00+07:00
cus_0120,Võ Khoa,0946320147,10.778682,106.702811,healthy,gluten,2024-04-07T12:00:00+07:00
